id;start_date;end_date;salary
1;2023-05-19T06:47:28;2023-05-19T04:37:43;57433
2;2023-05-18T16:15:03;2023-05-19T01:40:32;29253
3;2023-05-19T02:11:15;2023-05-18T14:16:23;92486
4;2023-05-19T06:42:04;2023-05-18T12:08:23;24495
5;2023-05-19T08:58:27;2023-05-18T17:17:25;40804
6;2023-05-18T18:29:10;2023-05-19T08:29:30;85707
7;2023-05-19T02:32:58;2023-05-18T13:07:07;27840
8;2023-05-18T16:58:51;2023-05-18T13:34:40;22582
9;2023-05-18T17:50:29;2023-05-19T05:21:55;28298
10;2023-05-18T13:47:27;2023-05-19T06:44:56;22145
