id;start_date;end_date;salary
1;2023-05-22T01:27:20;2023-05-21T23:17:35;57433
2;2023-05-21T10:54:55;2023-05-21T20:20:24;29253
3;2023-05-21T20:51:07;2023-05-21T08:56:15;92486
4;2023-05-22T01:21:56;2023-05-21T06:48:15;24495
5;2023-05-22T03:38:19;2023-05-21T11:57:17;40804
6;2023-05-21T13:09:02;2023-05-22T03:09:22;85707
7;2023-05-21T21:12:50;2023-05-21T07:46:59;27840
8;2023-05-21T11:38:43;2023-05-21T08:14:32;22582
9;2023-05-21T12:30:21;2023-05-22T00:01:47;28298
10;2023-05-21T08:27:19;2023-05-22T01:24:48;22145
